signals	samplings	stddev	ber	rber	complete	time(ms)
40	1000	0	0.0694894	0.174726	1000	434.086
41	1000	0	0.0996519	0.207399	1000	547.608
42	1000	0	0.14264	0.251473	1000	677.615
2	1100	0	0	0.00666682	1000	0.908
3	1100	0	0	0.00786939	1000	1.896
4	1100	0	0	0.00876591	1000	2.892
5	1100	0	0	0.00995036	1000	4.345
6	1100	0	0	0.0106244	1000	6.379
7	1100	0	0	0.0113413	1000	8.202
8	1100	0	0	0.0122377	1000	9.357
9	1100	0	0	0.0129251	1000	11.751
10	1100	0	0	0.0136034	1000	13.919
11	1100	0	0	0.014356	1000	16.37
12	1100	0	0	0.0148086	1000	18.338
13	1100	0	0	0.0153759	1000	21.608
14	1100	0	1.16883e-06	0.0159443	1000	25.076
15	1100	0	0	0.0166276	1000	28.54
16	1100	0	0	0.0171871	1000	29.569
17	1100	0	0	0.0177463	999	34.7978
18	1100	0	0	0.0181756	1000	38.465
19	1100	0	1.62679e-06	0.0187985	1000	43.112
20	1100	0	4.27273e-06	0.0193472	1000	44.289
21	1100	0	1.24242e-05	0.0198535	1000	50.269
22	1100	0	1.75207e-05	0.0203498	1000	56.453
23	1100	0	2.548e-05	0.0209309	999	61.9409
24	1100	0	3.17045e-05	0.0214135	1000	63.198
25	1100	0	7.37455e-05	0.022379	1000	71.493
26	1100	0	0.000109231	0.0231197	1000	77.966
27	1100	0	0.000179158	0.0238292	1000	86.859
28	1100	0	0.000206071	0.0245628	1000	89.662
29	1100	0	0.000391536	0.0266278	1000	100.828
30	1100	0	0.000584242	0.0289442	1000	111.334
31	1100	0	0.000840997	0.0305735	1000	122.34
32	1100	0	0.00130366	0.0345641	1000	127.897
33	1100	0	0.00195882	0.0384209	1000	147.057
34	1100	0	0.00291104	0.0436554	1000	163.111
35	1100	0	0.00424489	0.0519325	999	188.31
36	1100	0	0.00590753	0.0579783	1000	199.372
37	1100	0	0.00882477	0.0692876	1000	234.238
38	1100	0	0.0131107	0.0829556	1000	272.462
39	1100	0	0.0190818	0.0957568	1000	321.468
40	1100	0	0.0313315	0.120233	1000	373.807
41	1100	0	0.0482162	0.148176	1000	525.435
42	1100	0	0.0709705	0.176093	1000	592.611
43	1100	0	0.107178	0.217971	1000	746.629
2	1200	0	3.75e-06	0.00660125	1000	0.953
3	1200	0	0	0.00756722	1000	2.002
4	1200	0	0	0.00851583	1000	3.084
5	1200	0	0	0.00930533	1000	4.755
6	1200	0	0	0.0100553	1000	6.714
7	1200	0	0	0.0109704	1000	8.816
8	1200	0	1.77083e-06	0.0116	1000	9.837
9	1200	0	0	0.0122403	1000	12.489
10	1200	0	0	0.0129577	1000	15.098
11	1200	0	0	0.0135836	1000	17.662
12	1200	0	0	0.0141514	1000	19.259
13	1200	0	0	0.01478	1000	22.969
14	1200	0	0	0.0152773	1000	25.998
15	1200	0	0	0.0158444	1000	29.689
16	1200	0	0	0.0163411	1000	29.807
17	1200	0	0	0.0168657	1000	34.427
18	1200	0	0	0.0174034	1000	38.459
19	1200	0	0	0.0177996	1000	42.823
20	1200	0	0	0.0183642	1000	43.933
21	1200	0	7.53968e-07	0.0188203	1000	49.874
22	1200	0	6.48376e-06	0.0193625	999	55.9339
23	1200	0	1.55072e-05	0.0198298	1000	62.055
24	1200	0	2.16319e-05	0.0204061	1000	61.191
25	1200	0	3.003e-05	0.0210943	999	70.1522
26	1200	0	4.4391e-05	0.0215051	1000	76.832
27	1200	0	0.000106698	0.0224086	1000	84.914
28	1200	0	0.000127143	0.0227861	1000	86.665
29	1200	0	0.000236925	0.0242455	1000	97.927
30	1200	0	0.000404972	0.0262038	1000	108.544
31	1200	0	0.000682043	0.0286392	1000	119.092
32	1200	0	0.000682318	0.0291034	1000	122.076
33	1200	0	0.00116652	0.0329709	1000	138.987
34	1200	0	0.00159243	0.036047	999	154.399
35	1200	0	0.00221881	0.0399166	1000	173.068
36	1200	0	0.00337866	0.0480105	1000	184.173
37	1200	0	0.00492034	0.0551997	998	213.413
38	1200	0	0.00692818	0.0637032	1000	242.379
39	1200	0	0.0100153	0.0735321	1000	277.246
40	1200	0	0.0153985	0.0876008	1000	306.636
41	1200	0	0.023137	0.108967	1000	374.969
42	1200	0	0.0362114	0.128828	1000	450.256
43	1200	0	0.0519652	0.154094	1000	556.916
44	1200	0	0.0849558	0.193184	1000	664.301
45	1200	0	0.118672	0.227785	1000	826.231
2	1300	0	0	0.00619731	1000	1.01
3	1300	0	0	0.0072141	1000	2.181
4	1300	0	0	0.00818596	1000	3.376
5	1300	0	0	0.00908246	1000	5.13
6	1300	0	0	0.00981756	1000	7.368
7	1300	0	0	0.0104679	1000	9.527
8	1300	0	0	0.011106	1000	10.739
9	1300	0	0	0.0118265	1000	13.552
10	1300	0	0	0.0124643	1000	16.359
11	1300	0	0	0.0129831	1000	18.749
12	1300	0	0	0.0136238	1000	20.776
13	1300	0	8.30062e-07	0.0141166	998	24.4459
14	1300	0	0	0.0146333	1000	28.456
15	1300	0	0	0.0151887	1000	32.441
16	1300	0	0	0.0156097	1000	33.75
17	1300	0	0	0.0161592	1000	38.556
18	1300	0	0	0.0165997	1000	43.001
19	1300	0	0	0.0172149	1000	48.65
20	1300	0	0	0.0176249	1000	49.774
21	1300	0	0	0.0180391	1000	56.76
22	1300	0	5.8042e-06	0.0185355	1000	62.63
23	1300	0	0	0.0189443	1000	69.748
24	1300	0	8.14103e-06	0.0193505	1000	71.453
25	1300	0	2.12308e-05	0.0200939	1000	78.18
26	1300	0	2.63609e-05	0.0204225	1000	85.786
27	1300	0	5.30199e-05	0.0213532	1000	93.796
28	1300	0	0.000107665	0.0221296	1000	96.683
29	1300	0	0.000138806	0.022963	1000	108.026
30	1300	0	0.000194451	0.0235844	999	119.275
31	1300	0	0.000311751	0.0244412	999	128.984
32	1300	0	0.000477256	0.0271774	999	133.776
33	1300	0	0.000758368	0.0290024	1000	151.055
34	1300	0	0.000947624	0.0307776	1000	164.128
35	1300	0	0.00126255	0.0332032	1000	181.179
36	1300	0	0.00196143	0.0388115	1000	195.999
37	1300	0	0.00272316	0.0434318	998	224.834
38	1300	0	0.00404601	0.0485235	1000	255.634
39	1300	0	0.00539767	0.0582295	1000	293.255
40	1300	0	0.00848435	0.0683016	1000	301.581
41	1300	0	0.0113776	0.0800157	999	346.349
42	1300	0	0.0175112	0.092686	1000	408.18
43	1300	0	0.0270371	0.116356	1000	494.618
44	1300	0	0.0408883	0.136846	1000	569.178
45	1300	0	0.0601504	0.164671	999	717.263
46	1300	0	0.0919406	0.196663	1000	981.236
47	1300	0	0.134901	0.245844	1000	1224.16
2	1400	0	0	0.00591107	1000	1.261
3	1400	0	0	0.00704643	1000	2.829
4	1400	0	0	0.00786929	1000	4.129
5	1400	0	0	0.00867757	1000	6.234
6	1400	0	0	0.00938798	1000	8.659
7	1400	0	0	0.0100502	1000	9.625
8	1400	0	0	0.0107052	1000	11.017
9	1400	0	0	0.0113751	1000	13.954
10	1400	0	0	0.011958	1000	16.57
11	1400	0	0	0.0125636	1000	19.358
12	1400	0	0	0.0131361	1000	20.533
13	1400	0	0	0.0136876	1000	25.128
14	1400	0	0	0.0141556	1000	28.731
15	1400	0	0	0.014699	1000	32.365
16	1400	0	0	0.0150933	1000	33.601
17	1400	0	1.30382e-06	0.0156049	999	39.6557
18	1400	0	2.53968e-06	0.016053	1000	43.208
19	1400	0	0	0.0164226	1000	47.917
20	1400	0	0	0.0169085	999	49.1081
21	1400	0	0	0.0173828	1000	56.144
22	1400	0	0	0.0177728	1000	61.207
23	1400	0	6.34175e-06	0.0182059	999	68.8539
24	1400	0	3.45238e-06	0.0186388	1000	68.113
25	1400	0	1.52571e-05	0.0191463	1000	77.237
26	1400	0	2.69505e-05	0.0196091	1000	84.907
27	1400	0	2.9709e-05	0.0200346	1000	93.843
28	1400	0	3.31378e-05	0.0205713	1000	94.433
29	1400	0	7.2266e-05	0.0212216	1000	106.751
30	1400	0	0.000124524	0.0218525	1000	116.228
31	1400	0	0.000221774	0.0228822	1000	126.631
32	1400	0	0.00033933	0.0243312	1000	128.745
33	1400	0	0.000371255	0.025614	1000	144.623
34	1400	0	0.000554412	0.0273386	1000	157.911
35	1400	0	0.000835469	0.0303288	1000	175.11
36	1400	0	0.00106266	0.0322829	1000	180.11
37	1400	0	0.00165643	0.0354528	1000	203.622
38	1400	0	0.00251953	0.0420425	1000	227.536
39	1400	0	0.00327667	0.0468321	1000	253.883
40	1400	0	0.00482889	0.0539714	1000	262.124
41	1400	0	0.00685726	0.0625518	1000	304.271
42	1400	0	0.00973469	0.072703	1000	352.567
43	1400	0	0.0147797	0.0872375	1000	433.72
44	1400	0	0.0214416	0.102792	1000	493.29
45	1400	0	0.0334828	0.126979	1000	573.267
46	1400	0	0.050785	0.149245	1000	687.64
47	1400	0	0.0756531	0.180971	1000	948.957
48	1400	0	0.111456	0.218833	1000	1010.54
2	1500	0	0	0.00567033	1000	1.244
3	1500	0	0	0.00665533	1000	2.668
4	1500	0	0	0.00746183	1000	3.945
5	1500	0	0	0.00840627	1000	6.008
6	1500	0	0	0.00910056	1000	8.356
7	1500	0	0	0.009824	1000	10.925
8	1500	0	1.08333e-06	0.0103658	1000	12.468
9	1500	0	0	0.0109463	1000	15.616
10	1500	0	0	0.0115057	1000	18.511
11	1500	0	0	0.0120321	1000	20.948
12	1500	0	0	0.0126111	1000	23.1
13	1500	0	0	0.0131294	1000	27.751
14	1500	0	0	0.0137271	999	32.018
15	1500	0	0	0.0140967	1000	36.493
16	1500	0	0	0.0145469	1000	37.691
17	1500	0	0	0.0150082	1000	44.238
18	1500	0	1.11111e-06	0.0154672	1000	48.477
19	1500	0	0	0.0159127	1000	53.792
20	1500	0	0	0.0162644	1000	55.553
21	1500	0	0	0.0167091	1000	62.995
22	1500	0	8.78788e-07	0.0171424	1000	69.075
23	1500	0	0	0.0175232	1000	77.259
24	1500	0	5e-06	0.017917	1000	76.594
25	1500	0	4.18667e-06	0.0183576	1000	87.175
26	1500	0	6.57067e-06	0.01873	999	94.6376
27	1500	0	1.57441e-05	0.0193194	999	103.853
28	1500	0	2.84524e-05	0.0196029	1000	106.773
29	1500	0	4.71724e-05	0.020054	1000	118.843
30	1500	0	6.65333e-05	0.0209572	1000	129.411
31	1500	0	9.91183e-05	0.0213923	1000	140.737
32	1500	0	0.000195591	0.0231152	999	144.719
33	1500	0	0.00026574	0.0234376	999	161.825
34	1500	0	0.000408549	0.0250475	1000	176.451
35	1500	0	0.000530914	0.02689	1000	189.639
36	1500	0	0.000814185	0.0284108	1000	197.224
37	1500	0	0.00108505	0.0314853	999	217.269
38	1500	0	0.00147393	0.0352027	1000	244.89
39	1500	0	0.00226405	0.0406118	1000	268.215
40	1500	0	0.00292317	0.0444529	1000	279.059
41	1500	0	0.00419489	0.0503582	1000	329.877
42	1500	0	0.00582714	0.0599078	1000	360.98
43	1500	0	0.00834679	0.0686574	1000	413.755
44	1500	0	0.0119716	0.0810867	999	449.427
