signals	samplings	stddev	ber	rber	complete	time(ms)
17	1300	0.05	0.00986511	0.0664873	1000	521.282
18	1300	0.05	0.00873269	0.0644707	1000	559.441
19	1300	0.05	0.00840259	0.0646562	1000	634.265
20	1300	0.05	0.00861469	0.0646528	1000	662.228
21	1300	0.05	0.0078359	0.0631925	1000	748.324
22	1300	0.05	0.00754566	0.0626903	1000	786.588
23	1300	0.05	0.00748077	0.0626123	1000	877.218
24	1300	0.05	0.00716109	0.0627411	1000	821.813
25	1300	0.05	0.00736612	0.063017	1000	986.3
26	1300	0.05	0.00705093	0.0627756	999	1065.56
27	1300	0.05	0.00698499	0.0635092	1000	985.64
28	1300	0.05	0.00669846	0.0633063	1000	1123.62
29	1300	0.05	0.00709207	0.0644468	1000	1178.15
30	1300	0.05	0.00722523	0.06519	1000	1186.36
31	1300	0.05	0.00801911	0.067228	1000	1325.05
32	1300	0.05	0.00791452	0.0684952	1000	1460.17
33	1300	0.05	0.009418	0.0718984	1000	1816.49
34	1300	0.05	0.0102231	0.0753075	1000	1800.76
35	1300	0.05	0.0118017	0.0802356	1000	2066.26
36	1300	0.05	0.0139699	0.0872165	1000	2321.39
37	1300	0.05	0.0170587	0.0928229	1000	2653.76
38	1300	0.05	0.020997	0.104425	1000	3012.44
39	1300	0.05	0.0274791	0.11614	1000	3436.23
40	1300	0.05	0.0354594	0.130061	1000	3943.94
41	1300	0.05	0.0489107	0.148086	1000	4669.3
42	1300	0.05	0.0693977	0.177356	1000	5637.02
43	1300	0.05	0.0947991	0.205066	1000	6666.08
44	1300	0.05	0.128846	0.237127	1000	7838.47
2	1400	0.05	0.0320961	0.0941589	1000	17.654
3	1400	0.05	0.0295645	0.0923288	1000	35.109
4	1400	0.05	0.028077	0.0901477	1000	55.14
5	1400	0.05	0.0224073	0.0833967	1000	80.396
6	1400	0.05	0.0203515	0.0809518	1000	78.77
7	1400	0.05	0.0192173	0.0787271	1000	127.748
8	1400	0.05	0.0157489	0.0743555	1000	119.702
9	1400	0.05	0.0167447	0.0763267	1000	158.811
10	1400	0.05	0.01415	0.0711582	1000	168.442
11	1400	0.05	0.0133809	0.0712173	1000	240.982
12	1400	0.05	0.0120133	0.0693943	1000	263.695
13	1400	0.05	0.0111716	0.0675818	1000	317.722
14	1400	0.05	0.0109466	0.067282	1000	368.935
15	1400	0.05	0.0105835	0.0668379	1000	372.702
16	1400	0.05	0.00973902	0.0661735	1000	415.949
17	1400	0.05	0.00942689	0.0656229	1000	449.773
18	1400	0.05	0.00866549	0.0636985	999	606.962
19	1400	0.05	0.00880556	0.0646118	1000	538.246
20	1400	0.05	0.00918232	0.0652909	1000	585.261
21	1400	0.05	0.00796575	0.0627653	1000	718.488
22	1400	0.05	0.00760542	0.0626919	1000	775.29
23	1400	0.05	0.00713348	0.0619791	1000	792.441
24	1400	0.05	0.00667236	0.0610938	999	763.053
25	1400	0.05	0.0067676	0.0615994	1000	846.106
26	1400	0.05	0.00681404	0.0619474	1000	930.453
27	1400	0.05	0.0069464	0.0620622	1000	985.712
28	1400	0.05	0.00663745	0.0623013	1000	1153.49
29	1400	0.05	0.00659084	0.0620263	1000	1213.75
30	1400	0.05	0.00666276	0.0628352	1000	1221.88
31	1400	0.05	0.00671002	0.0635026	1000	1320.44
32	1400	0.05	0.00704288	0.0649156	1000	1425.67
33	1400	0.05	0.00790554	0.067715	1000	1632.71
34	1400	0.05	0.00867691	0.0708603	1000	1777.71
35	1400	0.05	0.00895066	0.0726711	999	1978.03
36	1400	0.05	0.0101927	0.076184	999	2161.32
37	1400	0.05	0.0119758	0.0821534	1000	2336.76
38	1400	0.05	0.0152464	0.0893836	999	2488.6
39	1400	0.05	0.0184795	0.0980142	1000	2772
40	1400	0.05	0.0246283	0.109415	999	3144.3
41	1400	0.05	0.0313747	0.122141	999	3721.34
42	1400	0.05	0.0421247	0.137116	999	4253.44
43	1400	0.05	0.0590785	0.162281	1000	5026.39
44	1400	0.05	0.0789464	0.185846	1000	5883.07
45	1400	0.05	0.108887	0.218552	999	7118.54
2	1500	0.05	0.0315097	0.0941627	1000	15.55
3	1500	0.05	0.0309004	0.09352	1000	31.5
4	1500	0.05	0.0256848	0.0871317	1000	48.759
5	1500	0.05	0.022112	0.0831345	1000	70.025
6	1500	0.05	0.0216544	0.082865	1000	89.008
7	1500	0.05	0.018385	0.0783072	1000	111.422
8	1500	0.05	0.0162931	0.0747475	1000	151.078
9	1500	0.05	0.0144289	0.0720337	1000	157.985
10	1500	0.05	0.0143626	0.0723452	999	204.873
11	1500	0.05	0.0131783	0.070467	1000	242.472
12	1500	0.05	0.0119608	0.0685622	1000	268.04
13	1500	0.05	0.0120004	0.0688588	1000	350.605
14	1500	0.05	0.0105326	0.0666961	999	353.647
15	1500	0.05	0.0106431	0.0672895	1000	405.835
16	1500	0.05	0.00951817	0.0651075	1000	417.426
17	1500	0.05	0.00905188	0.0642844	1000	467.486
18	1500	0.05	0.00917152	0.065041	1000	564.25
19	1500	0.05	0.00851214	0.0634643	1000	587.916
20	1500	0.05	0.00804483	0.0629421	1000	608.342
21	1500	0.05	0.00729307	0.0612111	999	699.873
22	1500	0.05	0.00763027	0.0623341	1000	765.57
23	1500	0.05	0.00667942	0.0607712	1000	832.631
24	1500	0.05	0.00689325	0.0611892	999	859.561
25	1500	0.05	0.0068492	0.0608808	1000	960.528
26	1500	0.05	0.00657674	0.0605938	1000	1033.55
27	1500	0.05	0.00690849	0.0617614	1000	1088.46
28	1500	0.05	0.00648693	0.0608688	1000	1121.91
29	1500	0.05	0.00630251	0.0609554	998	1224.73
30	1500	0.05	0.00633996	0.0612147	1000	1345.93
31	1500	0.05	0.00642142	0.0621367	1000	1444.19
32	1500	0.05	0.00643091	0.0628796	999	1575.42
33	1500	0.05	0.00682158	0.0645434	1000	1664.34
34	1500	0.05	0.00715794	0.0665981	1000	1818.22
35	1500	0.05	0.00760787	0.0675481	1000	1974.51
36	1500	0.05	0.00841909	0.0703225	1000	2041.45
37	1500	0.05	0.00980423	0.0755699	1000	2302.43
38	1500	0.05	0.0113626	0.0801371	1000	2570.35
39	1500	0.05	0.0140704	0.0862733	1000	2798.15
40	1500	0.05	0.0164143	0.0933769	1000	3287.27
41	1500	0.05	0.0217741	0.104058	1000	3654.29
42	1500	0.05	0.0269337	0.115534	998	4141.57
43	1500	0.05	0.0365585	0.131173	1000	4980.02
44	1500	0.05	0.049788	0.148844	1000	5543.45
45	1500	0.05	0.0691473	0.175802	1000	7218.75
46	1500	0.05	0.0966769	0.205148	1000	7733.65
47	1500	0.05	0.123902	0.231492	999	9328.32
2	1600	0.05	0.0318106	0.0918575	1000	16.044
3	1600	0.05	0.0328958	0.0964702	1000	34.119
4	1600	0.05	0.0246888	0.0868758	1000	47.51
5	1600	0.05	0.0228516	0.0840234	1000	70.002
6	1600	0.05	0.0197339	0.0800091	1000	91.451
7	1600	0.05	0.0192671	0.079651	1000	116.793
8	1600	0.05	0.0171296	0.0767501	1000	136.995
9	1600	0.05	0.0150469	0.0731826	1000	198.129
10	1600	0.05	0.0138655	0.0715512	1000	193.132
11	1600	0.05	0.0140187	0.0719078	1000	221.115
12	1600	0.05	0.0121928	0.0689771	1000	351.065
13	1600	0.05	0.0116215	0.0681514	1000	333.521
14	1600	0.05	0.00994446	0.065382	1000	411.245
15	1600	0.05	0.0100623	0.0656537	1000	412.484
16	1600	0.05	0.00994617	0.0655273	1000	520.282
17	1600	0.05	0.00902158	0.0637568	1000	483.922
18	1600	0.05	0.00886024	0.0643978	1000	529.01
19	1600	0.05	0.00867145	0.0633147	1000	566.343
20	1600	0.05	0.00829653	0.062847	1000	594.735
21	1600	0.05	0.00815601	0.0629625	1000	662.831
22	1600	0.05	0.00741264	0.0614775	1000	714.584
23	1600	0.05	0.00777144	0.0619931	1000	777.844
24	1600	0.05	0.0068438	0.0604196	1000	873.23
25	1600	0.05	0.00681027	0.061049	1000	894.25
26	1600	0.05	0.00717767	0.0617569	1000	967.743
27	1600	0.05	0.00620562	0.0599111	1000	1102.46
28	1600	0.05	0.00637049	0.0602973	1000	1238.06
29	1600	0.05	0.00603655	0.0600046	1000	1331.78
30	1600	0.05	0.00603112	0.060373	1000	1278.28
31	1600	0.05	0.0062854	0.0608159	1000	1386.93
32	1600	0.05	0.0061068	0.0611315	1000	1466.49
33	1600	0.05	0.0064628	0.0625298	1000	1577.92
34	1600	0.05	0.00688424	0.0633746	999	1697.49
35	1600	0.05	0.00701244	0.0655597	999	1939.87
36	1600	0.05	0.00753123	0.0671597	1000	1968.78
37	1600	0.05	0.00850938	0.0701261	1000	2344.68
38	1600	0.05	0.00944449	0.0737864	1000	2351.88
39	1600	0.05	0.0103697	0.0766726	1000	2654.45
40	1600	0.05	0.0122839	0.0825184	1000	2776.34
